Año,Producto_Agropecuario,Consumo_Hogares
1925-04-11,3653.4940049232614,12959.461697299184
1926-04-11,4067.632300512389,13676.48109448582
1927-04-11,4010.901027144015,14269.57121314637
1928-04-11,4337.105849012163,14304.979578439536
1929-04-11,4393.837122380537,15384.934719881136
1930-04-11,4612.2525248487755,14127.9377519737
1931-04-11,4385.327431375281,14588.246500784877
1932-04-11,4646.2912888698,14207.606573883328
1933-04-11,4904.4185826959,17155.352984539495
1934-04-11,5009.371438427391,19872.945020790074
1935-04-11,5083.122093806277,19209.03817154319
1936-04-11,5366.778460648145,19943.76175137641
1937-04-11,5344.085951300795,20395.21840886429
1938-04-11,5650.434827490013,21643.363285448435
1939-04-11,5741.204864879411,24661.926426690938
1940-04-11,5871.68679362667,22395.791047928236
1941-04-11,5951.110576342393,25485.17091975707
1942-04-11,6138.323778458026,23210.18344967108
1943-04-11,6007.841849710767,21324.687997809928
1944-04-11,6317.027289568403,25432.05837181732
1945-04-11,6543.9523830418975,24688.48270066081
1946-04-11,6992.129442652049,30734.461074469105
1947-04-11,7250.256736478149,29796.139394200178
1948-04-11,7267.276118488661,30265.30023433464
1949-04-11,7738.145687446163,40312.42388627082
1950-04-11,7814.537342498188,40710.39168168555
1951-04-11,7911.774036061767,40915.65105847103
1952-04-11,8451.289930595432,43584.02295668207
1953-04-11,8468.03546827136,46156.77942577902
1954-04-11,8693.748429886384,50308.85174719292
1955-04-11,8903.560166649477,52272.84434521212
1956-04-11,9186.264243884254,53294.3419991067
1957-04-11,9749.13945988182,54471.63004329527
1958-04-11,10055.906452600491,55393.82055266594
1959-04-11,10560.664802546307,58233.85721743318
1960-04-11,10571.50015045426,60947.26804364391
1961-04-11,10986.761341056465,64897.034360600184
1962-04-11,11345.735010058908,70258.51265026802
1963-04-11,11408.49559664264,73793.69932670257
1964-04-11,12051.158374507855,80460.93735682039
1965-04-11,12044.966747131884,79515.48904036792
1966-04-11,12449.674027434134,86839.85241343199
1967-04-11,13087.552365963373,88012.3412275878
1968-04-11,13978.02095767152,93314.75207069868
1969-04-11,14422.973815917594,100706.67383576228
1970-04-11,15043.68446035891,108493.23997813465
1971-04-11,15166.516849877717,116781.83055907318
1972-04-11,16351.965288346935,123566.03977560988
1973-04-11,16738.616929568077,129559.89320789436
1974-04-11,17667.198893100176,137377.4587951618
1975-04-11,18688.67767952307,141442.28371490398
1976-04-11,19259.191639646575,151307.2379413285
1977-04-11,19888.611069586488,157417.5190899973
1978-04-11,21502.620942556063,170637.6205790329
1979-04-11,22544.37866121083,177993.82322378145
1980-04-11,23043.43352680296,185848.587707985
1981-04-11,23781.3935273554,191265.13358392383
1982-04-11,23331.008099119783,194090.8004433929
1983-04-11,23986.307309241332,194966.66538034228
1984-04-11,24407.143436224786,200549.39853609947
1985-04-11,24809.05255979182,204312.28435733457
1986-04-11,25646.475894624426,210922.5766531311
1987-04-11,27283.854822832644,218883.62370000916
1988-04-11,28039.38989798605,227067.3810259461
1989-04-11,29244.731003311303,234402.81026071735
1990-04-11,30948.54757616491,241473.4992939176
1991-04-11,32237.32200267275,245267.78678139744
1992-04-11,31643.63211999853,252710.94788651605
1993-04-11,32668.00789674026,268126.26739733777
1994-04-11,34140.62065404638,284087.9105045761
1995-04-11,35362.65070613921,298424.8235139942
1996-04-11,34396.931719023814,301600.9267167883
1997-04-11,34174.74877046953,308683.04846042866
1998-04-11,34245.32250300202,306040.7384089895
1999-04-11,33956.46010145122,289223.81342423783
2000-04-11,34050.809824440024,309469.18215544225
2001-04-11,34652.7066793508,314266.7952976497
2002-04-11,36229.67643921704,320498.74638958933
2003-04-11,37349.20458935109,329983.8844442695
2004-04-11,38461.20902879875,342744.54620395537
2005-04-11,37909.000004179645,348741.0001919974
2006-04-11,38717.00000000005,366266
2007-04-11,40239.00000000001,389387.99999999977
2008-04-11,39914.99999999999,405167.0000000005
2009-04-11,39821.999999999985,412391
2010-04-11,39942.999999999985,432229.000000001
2011-04-11,40706,455530
2012-04-11,41725,480705.999999999
2013-04-11,44835,502987.999999999
2014-04-11,46139.9999999999,524642
2015-04-11,48124,543365.9999999991
2016-04-11,49441,552659
2017-04-11,52198,565536.000000001
2018-04-11,53030,583050
2019-04-11,54471,606642
2020-04-11,55539,580188.0000000009
2021-04-11,57968,661333.000000002
2022-04-11,57442,734873.9999999991
2023-04-11,58388.9999999999,739468.0000000009
2024-04-11,61967,752222.999999999
2025-04-11,63888.1209540664,779829.83567509
